# Auto Generated by Eyderoe
# 2025-06-13 1024Z
# ZSPD 2506



[airspace]

radius = 60
zoom = 7.0
elevation = 12
floor = 1500
descendaltitude = 15000
ceiling = 17000
above = 20000
speedrestriction = 15, 220, 10000, 250
localizerspeed = 8, 180
diversionaltitude = 17000
ta = 11800
usa = true
metric = false
letters = 2
separation = 3
automatic = false
name = approach, departure
center = N31.145000, E121.793333
magneticvar = -6.0

beacons =
	PUD, N31.171667, E121.783333, 0, Pudong
	BK, N29.896228, E121.334508, 0, Li She
	PK, N31.283333, E121.330000, 0, Nan Xiang
	AND, N30.256667, E121.221667, 0, Andong
	HSH, N31.368333, E121.846667, 0, Heng Sha
	HSN, N29.931667, E122.363333, 0, Zhou Shan
	JTN, N31.123333, E121.341667, 0, Jiu Ting
	MP1, N31.450000, E121.836111, 0, Mp1
	MP2, N30.800556, E122.080278, 0, Mp2
	NTG, N32.098292, E120.979353, 0, Nantong
	NXD, N30.896667, E120.430000, 0, Nan Xun
	PDL, N31.130000, E121.671667, 0, Liu Zao
	XSY, N30.931667, E121.873333, 0, Shu Yuan
	ADBAS, N30.343333, E120.267222, 0, Adb As
	BAVIK, N30.366667, E121.631667, 0, Ba Vik
	DUMET, N31.360833, E122.775000, 0, Du Met
	EKIMU, N31.351667, E121.110000, 0, Ekim U
	LAMEN, N31.610000, E124.000000, 0, La Men
	LASAN, N31.000000, E122.424444, 0, Las An
	MATNU, N31.660000, E122.633333, 0, Mat Nu
	MIGOL, N30.762778, E123.694167, 0, Migo L
	ODULO, N33.252500, E121.620556, 0, Odu Lo
	PD013, N31.356944, E121.711944, 0, 013
	PD023, N30.910000, E121.880556, 0, 023
	PD033, N31.331389, E121.746667, 0, 033
	PD043, N30.953889, E121.888889, 0, 043
	PD053, N31.350556, E121.709167, 0, 053
	PD063, N30.908611, E121.876111, 0, 063
	PD073, N31.332500, E121.750833, 0, 073
	PD083, N30.955278, E121.893333, 0, 083
	PD201, N31.400278, E121.571111, 0, 201
	PD202, N31.252778, E121.627222, 0, 202
	PD203, N31.225556, E121.527222, 0, 203
	PD204, N31.413056, E121.455556, 0, 204
	PD207, N31.028611, E121.776111, 0, 207
	PD208, N30.570556, E121.775000, 0, 208
	PD211, N31.450000, E122.194444, 0, 211
	PD212, N31.353611, E122.176389, 0, 212
	PD213, N31.268333, E122.125000, 0, 213
	PD214, N31.200833, E122.045833, 0, 214
	PD215, N31.157778, E121.946389, 0, 215
	PD228, N31.547778, E122.686667, 0, 228
	PD230, N31.086111, E122.192778, 0, 230
	PD231, N31.080556, E121.975278, 0, 231
	PD232, N31.152778, E122.127500, 0, 232
	PD233, N31.236111, E122.214167, 0, 233
	PD234, N31.337222, E122.269444, 0, 234
	PD235, N31.450000, E122.289167, 0, 235
	PD401, N30.729167, E121.825000, 0, 401
	PD402, N30.805000, E121.796667, 0, 402
	PD403, N30.878611, E121.768889, 0, 403
	PD404, N30.952222, E121.741111, 0, 404
	PD405, N30.924444, E121.641389, 0, 405
	PD406, N30.850833, E121.669444, 0, 406
	PD407, N30.776944, E121.697222, 0, 407
	PD408, N31.038889, E121.708333, 0, 408
	PD411, N30.936944, E122.315278, 0, 411
	PD412, N31.008889, E122.228056, 0, 412
	PD413, N31.042778, E122.116667, 0, 413
	PD414, N31.033056, E121.993333, 0, 414
	PD431, N31.110278, E121.964444, 0, 431
	PD432, N31.125556, E122.058889, 0, 432
	PD433, N31.119444, E122.155000, 0, 433
	PD434, N31.093056, E122.246111, 0, 434
	PD435, N31.041667, E122.333889, 0, 435
	PD436, N30.971667, E122.401389, 0, 436
	PD437, N30.888056, E122.443611, 0, 437
	PD438, N30.797778, E122.457222, 0, 438
	PIKAS, N32.166667, E120.733333, 0, Pikas
	PINOT, N31.450000, E122.450000, 0, Pinot
	POMOK, N31.450000, E121.116667, 0, Pom Ok
	SAMKI, N30.253333, E121.558333, 0, Sam Ki
	SASAN, N31.589444, E120.319444, 0, Sasan
	SS200, N31.285000, E121.331667, 0, 200
	SS202, N31.450000, E120.790278, 0, 202
	SS220, N31.440833, E121.200278, 0, 220
	SS420, N31.400278, E120.950278, 0, 420
	SURAK, N31.773333, E123.491667, 0, Sur Ak

boundary =
	N29.896228, E121.334508
	N30.343333, E120.267222
	N31.589444, E120.319444
	N32.166667, E120.733333
	N33.252500, E121.620556
	N31.610000, E124.000000
	N30.762778, E123.694167
	N29.931667, E122.363333



[airport1]

name = PUDONG AIRPORT, Pudong Airport
code = ZSPD

runways =
	rwy1, 16L, N31.160175, E121.816161, 162.1, 12467, 0, 0, 12
	rwy2, 16R, N31.158950, E121.811772, 162.1, 12467, 0, 0, 11
	rwy3, 17L, N31.161222, E121.785994, 162.1, 13123, 0, 0, 10
	rwy4, 17R, N31.154792, E121.783347, 162.1, 11155, 0, 0, 12

climbaltitude = 1500

sids =
	ADBAS
	AND
	HSN
	LAMEN
	MIGOL
	NXD
	ODULO
	PIKAS
